holiday,temp,rain_1h,snow_1h,clouds_all,weather_main,date_time,traffic_volume
0,289.1,55.63,0,68,6,2,315
0,295.82,44.45,0,76,6,11,4802
0,297.71,31.75,0,0,6,17,4913
0,264.5,28.7,0,64,6,23,1190
0,264.5,28.7,0,64,8,23,1190
0,292.02,27.57,0,90,6,0,492
0,292.02,27.57,0,90,10,0,492
0,292.02,27.57,0,90,5,0,492
0,294.49,25.46,0,90,6,21,2118
0,294.49,25.46,0,90,10,21,2118
0,294.49,25.46,0,90,5,21,2118
0,292.65,25.32,0,8,6,6,958
0,292.65,25.32,0,8,10,6,958
0,292.65,25.32,0,8,5,6,958
0,294.87,23.8,0,90,6,3,346
0,294.87,23.8,0,90,10,3,346
0,294.87,23.8,0,90,5,3,346
0,292.87,21.42,0,90,6,7,1745
0,292.87,21.42,0,90,5,7,1745
0,292.87,21.42,0,90,10,7,1745
0,295.12,20.24,0,90,6,7,4302
0,295.12,20.24,0,90,10,7,4302
0,295.12,20.24,0,90,5,7,4302
0,294.07,20.07,0,40,6,22,1520
0,294.07,20.07,0,40,10,22,1520
0,294.07,20.07,0,40,5,22,1520
0,294.07,20.07,0,40,2,22,1520
0,292.82,19.9,0,20,6,5,542
0,292.82,19.9,0,20,10,5,542
0,292.82,19.9,0,20,5,5,542
0,262.65,18.8,0,64,6,19,2755
0,292.7,18.42,0,80,6,21,1904
0,298.21,18.03,0,0,6,16,6443
0,294.92,16.51,0,32,6,7,5724
0,291.76,16.38,0,76,6,5,635
0,291.76,16.38,0,76,10,5,635
0,291.76,16.38,0,76,5,5,635
0,296.26,16,0,32,6,8,6298
0,296.26,16,0,32,10,8,6298
0,290.26,15.75,0,92,6,21,2086
0,293.98,15.41,0,90,6,6,4487
0,293.98,15.41,0,90,5,6,4487
0,264.53,14.73,0,64,6,0,610
0,264.53,14.73,0,64,8,0,610
0,264.53,14.73,0,64,5,0,610
0,293.64,13.64,0,90,6,1,696
0,293.64,13.64,0,90,10,1,696
0,293.64,13.64,0,90,5,1,696
0,295.42,13.46,0,90,6,13,10
0,295.42,13.46,0,90,5,13,10
0,295.42,13.46,0,90,10,13,10
0,295.42,13.46,0,90,3,13,10
0,294.58,13.32,0,90,6,8,5045
0,294.58,13.32,0,90,5,8,5045
0,294.58,13.32,0,90,10,8,5045
0,291.34,13.21,0,68,6,21,3089
0,291.34,13.21,0,68,10,21,3089
0,291.34,13.21,0,68,5,21,3089
0,294.06,12.83,0,32,6,8,4669
0,293.75,12.7,0,90,6,11,4724
0,297.61,12.7,0,90,6,19,3389
0,293.11,12.45,0,90,6,11,4549
0,293.65,12.19,0,88,6,16,4271
0,293.65,12.19,0,88,10,16,4271
0,293.65,12.19,0,88,5,16,4271
0,294.23,11.78,0,90,6,4,760
0,294.23,11.78,0,90,10,4,760
0,294.23,11.78,0,90,5,4,760
0,293.58,11.59,0,90,6,17,4049
0,284.31,11.58,0,92,6,13,4388
0,284.31,11.58,0,92,10,13,4388
0,284.31,11.58,0,92,5,13,4388
0,297.1,11.23,0,75,6,11,24
0,297.1,11.23,0,75,10,11,24
0,297.1,11.23,0,75,5,11,24
0,290.79,10.92,0,90,6,3,356
0,290.79,10.92,0,90,10,3,356
0,290.79,10.92,0,90,5,3,356
0,294.94,10.67,0,90,6,10,4582
0,294.94,10.67,0,90,10,10,4582
0,295.22,10.67,0,90,6,16,7
0,295.22,10.67,0,90,5,16,7
0,290.88,10.6,0,90,6,19,2957
0,290.88,10.6,0,90,10,19,2957
0,290.88,10.6,0,90,5,19,2957
0,290.88,10.6,0,90,4,19,2957
0,293.91,10.54,0,88,6,9,5225
0,293.91,10.54,0,88,10,9,5225
0,293.91,10.54,0,88,5,9,5225
0,292.15,10.16,0,90,6,4,278
0,292.15,10.16,0,90,10,4,278
0,292.15,10.16,0,90,5,4,278
0,289.79,10.05,0,68,6,6,5361
0,294.08,9.91,0,90,6,23,963
0,294.08,9.91,0,90,10,23,963
0,294.08,9.91,0,90,5,23,963
0,292.67,9.9,0,92,6,9,4792
0,292.67,9.9,0,92,10,9,4792
0,292.67,9.9,0,92,5,9,4792
0,292.67,9.9,0,92,3,9,4792
0,290.9,9.62,0,90,6,18,3898
0,290.9,9.62,0,90,10,18,3898
0,290.9,9.62,0,90,5,18,3898
0,290.9,9.62,0,90,3,18,3898
0,290.9,9.62,0,90,4,18,3898
0,289.48,9.53,0,90,6,4,852
0,289.48,9.53,0,90,10,4,852
0,289.48,9.53,0,90,5,4,852
0,295.3,9.42,0,90,6,12,2
0,295.3,9.42,0,90,10,12,2
0,295.3,9.42,0,90,5,12,2
0,295.9,9.4,0,1,6,19,3201
0,295.9,9.4,0,1,4,19,3201
0,295.9,9.4,0,1,10,19,3201
0,295.39,9.15,0,90,6,6,4763
0,295.39,9.15,0,90,10,6,4763
0,295.39,9.15,0,90,5,6,4763
0,294.42,9.14,0,90,6,6,5913
0,294.42,9.14,0,90,10,6,5913
0,292.58,9,0,8,6,3,478
0,291.02,8.89,0,40,6,2,626
0,291.02,8.89,0,40,10,2,626
0,292.72,8.86,0,8,6,5,2736
0,290.41,8.64,0,92,6,9,5144
0,290.41,8.64,0,92,5,9,5144
0,290.41,8.64,0,92,10,9,5144
0,293.64,8.64,0,20,6,4,391
0,293.64,8.64,0,20,10,4,391
0,297.2,8.64,0,1,6,20,3437
0,295.4,8.4,0,90,6,17,3628
0,295.4,8.4,0,90,10,17,3628
0,295.4,8.4,0,90,5,17,3628
0,295.4,8.4,0,90,2,17,3628
0,292.56,8.4,0,92,6,8,5144
0,292.56,8.4,0,92,10,8,5144
0,292.56,8.4,0,92,5,8,5144
0,296.71,8.4,0,90,6,7,1290
0,296.71,8.4,0,90,10,7,1290
0,296.71,8.4,0,90,5,7,1290
0,295.27,8.04,0,90,6,20,2619
0,295.27,8.04,0,90,5,20,2619
0,295.27,8.04,0,90,10,20,2619
0,296.14,8.02,0,40,6,6,5101
0,296.14,8.02,0,40,10,6,5101
0,293.99,8,0,68,6,18,3942
0,295.18,7.97,0,90,6,2,319
0,295.18,7.97,0,90,10,2,319
0,295.18,7.97,0,90,5,2,319
0,297.06,7.87,0,90,6,13,4735
0,297.06,7.87,0,90,10,13,4735
0,288.71,7.77,0,92,6,21,2549
0,288.71,7.77,0,92,10,21,2549
0,290.68,7.72,0,90,6,13,4444
0,290.68,7.72,0,90,5,13,4444
0,290.25,7.7,0,68,6,7,5656
0,294.91,7.62,0,90,6,19,2821
0,294.91,7.62,0,90,10,19,2821
0,294.91,7.62,0,90,5,19,2821
0,295.52,7.54,0,76,6,3,380
0,295.52,7.54,0,76,10,3,380
0,295.52,7.54,0,76,5,3,380
0,294.1,7.51,0,90,6,5,2499
0,294.1,7.51,0,90,5,5,2499
0,294.1,7.51,0,90,10,5,2499
0,287.48,7.39,0,90,6,17,5811
