Index,Epochs,Learning Rate,MSE Training Data,MSE Testing data
1,1000,0.001,0.25414809304071395,0.27211204670080513
2,1000,0.002,0.2924386147166832,0.30423051974315374
3,1000,0.003,0.29949485087045613,0.28764601958260283
4,1000,0.004,0.3010109570582002,0.2753734829452602
5,1000,0.005,0.7070662327223115,0.30269454975658155
6,1000,0.006,0.4093522218545369,7.263643855384578
7,1000,0.007,44761.61947678123,155073502.83409464
8,1000,0.008,3265571068.556041,49071774821.09569
9,1000,0.009000000000000001,534726634701.38525,104406447490.51036
10,1000,0.010000000000000002,223855179155.91788,54852548502.44478
11,800,0.001,0.26495717466943164,0.2622956713775048
12,800,0.002,0.2798130172152237,0.2733279615932137
13,800,0.003,0.32531722398849666,0.25774570079571035
14,800,0.004,0.29150462343134936,0.4090613501905539
15,800,0.005,0.3768593795672659,0.3327091221579344
16,800,0.006,0.5157590514577748,1.7842167142059469
17,800,0.007,46.61250335862009,128755838.44272842
18,800,0.008,508361936616.9164,32343384802.74213
19,800,0.009000000000000001,33048726008.70332,144298456651.05142
20,800,0.010000000000000002,15661860519.713854,1494359805778.0938
21,640,0.001,0.2582896284316301,0.2540076267696891
22,640,0.002,0.3841306664339381,0.3052674068502346
23,640,0.003,0.26084487537881157,0.25415831489425644
24,640,0.004,0.5035853995566215,0.2805360272605369
25,640,0.005,0.8146182291031018,0.25264175370649483
26,640,0.006,1.325580584289475,0.598976515074658
27,640,0.007,9027354.423914563,73.99019153161004
28,640,0.008,5142867341.620501,5130248655.679139
29,640,0.009000000000000001,394382070521.32635,249350613465.76233
30,640,0.010000000000000002,36250601036.87214,53114311467.42862
31,512,0.001,0.2840148204778034,0.26173255033506637
32,512,0.002,0.26852874506583796,0.28119840495819115
33,512,0.003,0.43272945788149997,0.29851301127902286
34,512,0.004,0.35326928887605413,0.28049003097060565
35,512,0.005,0.26272495693752007,0.3238308608020339
36,512,0.006,0.2571488965670853,0.26519451821867135
37,512,0.007,1449123.0216059189,72.2919696233661
38,512,0.008,24073062778.951492,189062409504.20343
39,512,0.009000000000000001,66025894058.19168,263848111484.39813
40,512,0.010000000000000002,2061664263862.5808,746523300840.1467
41,409,0.001,0.3389432602742912,0.2692631189578178
42,409,0.002,0.3446865420724086,0.26380262169058355
43,409,0.003,0.26121545605962565,0.30780244140697255
44,409,0.004,0.3721169920911525,0.6033391032743256
45,409,0.005,0.8886263442396899,0.2947938755980308
46,409,0.006,1.0590602043917767,0.29894286849782414
47,409,0.007,2762.9724565428846,9459665.21085968
48,409,0.008,36156558142.3587,773219884187.5446
49,409,0.009000000000000001,116517854050.70862,191934869480.84915
50,409,0.010000000000000002,47895210997.58167,1975818970971.8484
51,327,0.001,0.2626976472388294,0.27521798485785254
52,327,0.002,0.3009577512750927,0.2620458835588284
53,327,0.003,0.2743210370347505,0.3918052606448299
54,327,0.004,0.36044877067817616,0.5364021638952317
55,327,0.005,0.736116396689577,0.29819086644960807
56,327,0.006,1.0180749170234933,0.7941849788106636
57,327,0.007,375.2102114997834,2906.56060066959
58,327,0.008,8672050329.656708,9913692036.711754
59,327,0.009000000000000001,1243986225377.4556,29043752911.200157
60,327,0.010000000000000002,44049087754.40243,20178793751.200066
61,261,0.001,0.305987163197327,0.2821300061236077
62,261,0.002,0.28293161062257016,0.35756204774126615
63,261,0.003,0.3098764392263813,0.4505187428584584
64,261,0.004,0.29686587286581917,0.2599860752312338
65,261,0.005,0.3905015242834033,0.2757525251764358
66,261,0.006,1.8438077178493428,0.3883583373019348
67,261,0.007,4144.7784037998335,56368.12073373528
68,261,0.008,30231871858.133904,17170051005.426334
